time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,9,3,,
2025-06-29 00:00:00+00:00,11,5,,
2025-06-30 00:00:00+00:00,12,6,,
2025-07-01 00:00:00+00:00,17,10,22.0,2.0
2025-07-02 00:00:00+00:00,15,8,1.0,1.0
2025-07-03 00:00:00+00:00,13,7,20.0,4.0
2025-07-04 00:00:00+00:00,14,8,18.0,1.0
2025-07-05 00:00:00+00:00,10,4,,
2025-07-06 00:00:00+00:00,13,7,,
2025-07-07 00:00:00+00:00,9,3,,
2025-07-08 00:00:00+00:00,11,4,4.0,2.0
2025-07-09 00:00:00+00:00,18,9,3.0,1.0
2025-07-10 00:00:00+00:00,17,10,16.0,3.0
2025-07-11 00:00:00+00:00,1,1,1.0,1.0
