time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-02 00:00:00+00:00,3,3,1.0,1.0
2025-05-03 00:00:00+00:00,8,5,,
2025-05-04 00:00:00+00:00,6,5,,
2025-05-05 00:00:00+00:00,7,4,1.0,1.0
2025-05-06 00:00:00+00:00,7,5,,
2025-05-07 00:00:00+00:00,6,4,19.0,7.0
2025-05-08 00:00:00+00:00,10,7,4.0,3.0
2025-05-09 00:00:00+00:00,7,5,3.0,1.0
2025-05-10 00:00:00+00:00,6,4,,
2025-05-11 00:00:00+00:00,8,5,3.0,2.0
2025-05-12 00:00:00+00:00,11,7,9.0,3.0
2025-05-13 00:00:00+00:00,6,3,12.0,5.0
2025-05-14 00:00:00+00:00,4,4,,
2025-05-15 00:00:00+00:00,6,5,13.0,1.0
