time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-21 00:00:00+00:00,9.0,3.0,,
2025-06-22 00:00:00+00:00,9.0,3.0,2.0,1.0
2025-06-23 00:00:00+00:00,9.0,3.0,5.0,2.0
2025-06-24 00:00:00+00:00,9.0,3.0,45.0,3.0
2025-06-25 00:00:00+00:00,9.0,3.0,14.0,2.0
2025-06-26 00:00:00+00:00,15.0,8.0,54.0,2.0
2025-06-27 00:00:00+00:00,12.0,5.0,2.0,1.0
2025-06-28 00:00:00+00:00,9.0,3.0,,
2025-06-29 00:00:00+00:00,11.0,5.0,,
2025-06-30 00:00:00+00:00,12.0,6.0,,
2025-07-01 00:00:00+00:00,17.0,10.0,22.0,2.0
2025-07-02 00:00:00+00:00,15.0,8.0,1.0,1.0
2025-07-03 00:00:00+00:00,13.0,7.0,20.0,4.0
2025-07-04 00:00:00+00:00,,,18.0,1.0
