time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,12,7,0,0
2026-04-10 00:00:00+00:00,34,8,0,0
2026-04-11 00:00:00+00:00,42,16,0,0
2026-04-12 00:00:00+00:00,17,8,0,0
2026-04-13 00:00:00+00:00,10,6,0,0
2026-04-14 00:00:00+00:00,33,11,0,0
2026-04-15 00:00:00+00:00,4,4,0,0
2026-04-16 00:00:00+00:00,13,4,0,0
2026-04-17 00:00:00+00:00,14,5,0,0
2026-04-18 00:00:00+00:00,10,6,1,1
2026-04-19 00:00:00+00:00,19,10,0,0
2026-04-20 00:00:00+00:00,48,21,0,0
2026-04-21 00:00:00+00:00,46,20,0,0
2026-04-22 00:00:00+00:00,58,24,0,0
