url_path,views_total,views_unique
/vikrg23/OpenROAD/tree/ffea9203af30dff60372eac131f9fe0a3737478c,22,10
/vikrg23/OpenROAD/actions/runs/14766233630,7,3
/vikrg23/OpenROAD,6,1
/vikrg23/OpenROAD/blob/ffea9203af30dff60372eac131f9fe0a3737478c/docs/user/Build.md,4,3
/vikrg23/OpenROAD/actions/runs/14743220886,3,2
/vikrg23/OpenROAD/actions,3,1
/vikrg23/OpenROAD/actions/workflows/github-actions-repo-stats.yml,3,1
/vikrg23/OpenROAD/blob/master/src/grt/src/GlobalRouter.cpp,3,1
/vikrg23/OpenROAD/tree/ffea9203af30dff60372eac131f9fe0a3737478c/etc,3,1
/vikrg23/OpenROAD/tree/master,3,1
