time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,27,8,0,0
2026-06-15 00:00:00+00:00,19,6,0,0
2026-06-16 00:00:00+00:00,17,7,0,0
2026-06-17 00:00:00+00:00,15,5,0,0
2026-06-18 00:00:00+00:00,21,7,0,0
2026-06-19 00:00:00+00:00,35,10,0,0
2026-06-20 00:00:00+00:00,30,10,0,0
2026-06-21 00:00:00+00:00,32,9,0,0
2026-06-22 00:00:00+00:00,42,14,0,0
2026-06-23 00:00:00+00:00,28,10,0,0
2026-06-24 00:00:00+00:00,43,11,0,0
2026-06-25 00:00:00+00:00,53,14,1,1
2026-06-26 00:00:00+00:00,18,9,0,0
2026-06-27 00:00:00+00:00,19,6,0,0
