time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-11 00:00:00+00:00,8,5,3.0,2.0
2025-05-12 00:00:00+00:00,11,7,9.0,3.0
2025-05-13 00:00:00+00:00,6,3,12.0,5.0
2025-05-14 00:00:00+00:00,4,4,,
2025-05-15 00:00:00+00:00,9,8,13.0,1.0
2025-05-16 00:00:00+00:00,10,6,19.0,2.0
2025-05-17 00:00:00+00:00,6,6,,
2025-05-18 00:00:00+00:00,6,4,1.0,1.0
2025-05-19 00:00:00+00:00,6,6,,
2025-05-20 00:00:00+00:00,3,3,4.0,2.0
2025-05-21 00:00:00+00:00,6,5,1.0,1.0
2025-05-22 00:00:00+00:00,16,7,1.0,1.0
2025-05-23 00:00:00+00:00,19,8,2.0,2.0
2025-05-24 00:00:00+00:00,2,2,,
